Site,Audited at,Profile,Rule,Title,Category,Severity,Weight,Verdict,Evidence,Legal basis,Remediation,Note
https://www.lemonde.fr/,2026-08-22T12:55:13.746Z,current,PRE_CONSENT_TRACKERS,Trackers contacted before consent,deposit,blocking,12,warn,"rubiconproject.com (advertising, Magnite) — 1 request(s), first at 385 ms
amplitude.com (analytics, Amplitude) — 1 request(s), first at 667 ms
3 further third-party domain(s) were contacted but are not in the shipped table — lemde.fr, ebxcdn.com, sirius.press",ePrivacy art. 5(3); GDPR art. 6(1)(a); LIL art. 82; CNIL délib. 2020-091,"Hold every advertising, analytics and social tag until consent is recorded. Loading the tag manager itself is not enough of a delay: the tags it fires must be gated on the consent signal, not on the manager being ready.","Measured in the visitor’s own profile, where the site may be acting on a choice made earlier. What was deposited is recorded; that it was deposited *before consent* is not established. Re-run in a clean window to settle it."
https://www.lemonde.fr/,2026-08-22T12:55:13.746Z,current,PRE_CONSENT_COOKIES,Cookies written before consent,deposit,blocking,10,warn,"_pctx on lemonde.fr — Piano/Cxense or Urchin identifier; persistent, at 1271 ms
lmd_a_c on lemonde.fr — raised for review — purpose not determinable from outside the site
lmd_rand_id on lemonde.fr — raised for review — purpose not determinable from outside the site
atauthority on lemonde.fr — raised for review — AT Internet audience measurement
pa_privacy on lemonde.fr — raised for review — purpose not determinable from outside the site
lmd_consent_tmp on lemonde.fr — raised for review — purpose not determinable from outside the site
atid on www.lemonde.fr — raised for review — AT Internet audience measurement
atidx on www.lemonde.fr — raised for review — AT Internet audience measurement
lmd_pa on lemonde.fr — raised for review — purpose not determinable from outside the site
lead on lemonde.fr — raised for review — purpose not determinable from outside the site
lead_ads on lemonde.fr — raised for review — purpose not determinable from outside the site",ePrivacy art. 5(3); LIL art. 82; CNIL délib. 2020-091,"Write nothing but strictly necessary cookies until a choice is recorded. Where audience measurement is claimed as exempt, keep the evidence that it meets the CNIL’s conditions — own-site only, no cross-site profile, no onward sharing.","Measured in the visitor’s own profile, where the site may be acting on a choice made earlier. What was deposited is recorded; that it was deposited *before consent* is not established. Re-run in a clean window to settle it."
https://www.lemonde.fr/,2026-08-22T12:55:13.746Z,current,PRE_CONSENT_STORAGE,Terminal storage written before consent,deposit,major,7,warn,"localStorage key ""lmd.batch.first.url"" — 8 bytes at 522 ms
sessionStorage key ""auto-refresh"" — 5 bytes at 590 ms
localStorage key ""__storage_test__"" — 16 bytes at 643 ms
sessionStorage key ""ebx_webtag_"" — 32 bytes at 1133 ms",ePrivacy art. 5(3); LIL art. 82; CNIL délib. 2020-091,"Treat localStorage, sessionStorage and IndexedDB exactly as cookies: nothing written until a choice is recorded, beyond what the service the visitor asked for strictly requires.","Measured in the visitor’s own profile, where the site may be acting on a choice made earlier. What was deposited is recorded; that it was deposited *before consent* is not established. Re-run in a clean window to settle it."
https://www.lemonde.fr/,2026-08-22T12:55:13.746Z,current,PRE_CONSENT_FINGERPRINT,Fingerprinting surface reached before consent,deposit,major,6,pass,,ePrivacy art. 5(3); CNIL délib. 2020-091; EDPB Guidelines 2/2023 on Technical Scope of Art. 5(3),"Gate canvas read-back, WebGL renderer queries and audio-context creation on consent, exactly as you would a cookie. Where the use is genuinely functional — a chart, a map — it should be reachable without touching the identifying parameters.",
https://www.lemonde.fr/,2026-08-22T12:55:13.746Z,current,EXEMPTION_CHECK,Cookies set aside as not requiring consent,deposit,informational,0,pass,"atauthority on lemonde.fr — AT Internet audience measurement — audience measurement — exempt only under conditions this tool cannot verify (conditions not verifiable from outside; check them)
atid on www.lemonde.fr — AT Internet audience measurement — audience measurement — exempt only under conditions this tool cannot verify (conditions not verifiable from outside; check them)
atidx on www.lemonde.fr — AT Internet audience measurement — audience measurement — exempt only under conditions this tool cannot verify (conditions not verifiable from outside; check them)","ePrivacy art. 5(3), second exception; CNIL délib. 2020-091, art. 5; CNIL audience-measurement exemption criteria","Nothing to correct. If a cookie listed here is not in fact strictly necessary, it belongs in the findings above and should be gated on consent.",
https://www.lemonde.fr/,2026-08-22T12:55:13.746Z,current,REFUSE_SAME_LAYER,Refusal offered on the same layer as acceptance,fairness,blocking,8,fail,"Acceptance is offered on the first screen — “accepter et continuer”
No refusal is offered on the first screen","GDPR art. 4(11), art. 7(3); CNIL délib. 2020-091, art. 2; EDPB Guidelines 05/2020, §§ 47-50","Put a refusal control on the first screen, beside the acceptance and reachable in the same single click. ""Settings"" is not a refusal: it is a route to one.",
https://www.lemonde.fr/,2026-08-22T12:55:13.746Z,current,REFUSE_EQUAL_PROMINENCE,Refusal as prominent as acceptance,fairness,major,6,not_applicable,,GDPR art. 4(11); CNIL recomm. 2020-092; EDPB Guidelines 03/2022 on deceptive design,"Give both answers the same treatment: same surface, same contrast, same weight. A refusal rendered as unpainted text beside a filled acceptance button is a design choice with a legal consequence.",both answers must be on the same layer before they can be compared
https://www.lemonde.fr/,2026-08-22T12:55:13.746Z,current,NO_PRECHECKED,No purpose switched on by default,fairness,blocking,5,not_applicable,,"GDPR art. 4(11), recital 32; CJEU C-673/17 Planet49; CNIL délib. 2020-091, art. 2","Every optional purpose starts off. Only strictly necessary processing may be shown as active, and it should be shown as disabled rather than as a ticked choice the visitor appears to have made.",the first layer offers no per-purpose controls to inspect
https://www.lemonde.fr/,2026-08-22T12:55:13.746Z,current,GRANULARITY,Choice available purpose by purpose,fairness,major,4,fail,No per-purpose route was found — neither a preferences control nor per-purpose switches,"GDPR art. 6(1)(a), art. 7, recital 43; EDPB Guidelines 05/2020, §§ 44-46; CNIL délib. 2020-091, art. 2","Offer a per-purpose choice, reachable from the first screen, with each purpose named in terms a visitor can act on rather than by a framework category number.",
https://www.lemonde.fr/,2026-08-22T12:55:13.746Z,current,NO_COOKIE_WALL,Refusal not conditioned on payment,fairness,blocking,4,not_applicable,,"GDPR art. 4(11), art. 7(4), recital 42; CNIL critères d’évaluation des cookie walls, 2022; EDPB Opinion 08/2024 on consent or pay","Offer a way to refuse that costs nothing. Where a paid alternative is also offered, it has to sit beside a free refusal rather than replace it — and the free path must not be materially worse.",no refusal control was identified on the first layer
https://www.lemonde.fr/,2026-08-22T12:55:13.746Z,current,WITHDRAWAL_ACCESSIBLE,A permanent way back to the choice,fairness,major,2,fail,Nothing on the page after acceptance offers a way back to the choice,"GDPR art. 7(3); CNIL délib. 2020-091, art. 3","Keep a visible, permanent control — a footer link or a floating badge — that reopens the consent choice from any page, and make using it no harder than giving consent was.",
https://www.lemonde.fr/,2026-08-22T12:55:13.746Z,current,NO_DARK_PATTERN,No deceptive design across the banner as a whole,fairness,major,1,fail,2 departures point the same way — refusing takes an extra step; there is no per-purpose choice,"EDPB Guidelines 03/2022 on deceptive design patterns; GDPR art. 4(11), art. 5(1)(a); CNIL recomm. 2020-092","Treat the two answers identically: same layer, same surface, same contrast, same cost, nothing pre-selected. Where several of those differ at once, the imbalance is the design, not an accident of it.",
https://www.lemonde.fr/,2026-08-22T12:55:13.746Z,current,PURPOSES_STATED,Purposes stated before the choice,information,major,6,pass,"Purposes named on the first screen — personnalis, contenu","GDPR art. 4(11), art. 13(1)(c); CNIL délib. 2020-091, art. 2; EDPB Guidelines 05/2020, §§ 62-64","Name the purposes on the first screen, in the visitor’s terms: advertising, audience measurement, personalised content. A link to the policy is not a substitute for saying it here.",
https://www.lemonde.fr/,2026-08-22T12:55:13.746Z,current,CONTROLLERS_IDENTIFIED,Controller and recipients identifiable,information,major,6,fail,Neither the controller nor the recipients are identifiable from the banner,"GDPR art. 13(1)(a), art. 13(1)(e); CNIL délib. 2020-091, art. 2; EDPB Guidelines 05/2020, § 65","Name the controller on the first screen and make the full list of recipients reachable from it in one click. Where the list runs to hundreds, the number itself is worth reconsidering before the wording is.",
https://www.lemonde.fr/,2026-08-22T12:55:13.746Z,current,RETENTION_STATED,Retention period stated,information,minor,4,fail,No retention period appears on the first screen,"GDPR art. 13(2)(a); CNIL délib. 2020-091, art. 2 — 6 months for the consent record, 13 months for trackers","State how long the trackers last and how long the choice is remembered. The CNIL’s reference figures — trackers no more than 13 months, the record of the choice about 6 — are what a reader will compare against.",
https://www.lemonde.fr/,2026-08-22T12:55:13.746Z,current,POLICY_REACHABLE,Privacy policy reachable from the banner,information,major,4,fail,No link to the policy appears on the banner,"GDPR art. 12(1), art. 13; CNIL délib. 2020-091, art. 2","Put a link to the privacy or cookie policy on the first screen of the banner, labelled as such.",
https://www.lemonde.fr/,2026-08-22T12:55:13.746Z,current,POLICY_IDENTIFIES_CONTROLLER,Controller identified in the policy,policy,major,3,not_applicable,,"GDPR art. 13(1)(a), art. 13(1)(b); GDPR art. 37 (designation of a DPO)","Name the controller as a legal person, with an address and a means of contact, and the data protection officer where one is designated. ""We"" and the brand name are not an identity.",no policy analysis was available for this audit
https://www.lemonde.fr/,2026-08-22T12:55:13.746Z,current,POLICY_STATES_PURPOSES,"Purposes, legal bases and data stated in the policy",policy,major,4,not_applicable,,GDPR art. 13(1)(c); GDPR art. 6; EDPB Guidelines on transparency (WP260 rev.01),"State each purpose in the visitor’s terms and the legal basis it rests on, purpose by purpose. A single list of purposes followed by a single list of bases leaves the reader to guess which goes with which.",no policy analysis was available for this audit
https://www.lemonde.fr/,2026-08-22T12:55:13.746Z,current,POLICY_NAMES_RECIPIENTS,Recipients and transfers disclosed,policy,major,3,not_applicable,,"GDPR art. 13(1)(e), art. 13(1)(f); GDPR art. 44 et seq.","Name the recipients, or at minimum their categories, and for any transfer outside the EEA the safeguard relied on — adequacy decision, standard contractual clauses, or the derogation invoked.",no policy analysis was available for this audit
https://www.lemonde.fr/,2026-08-22T12:55:13.746Z,current,POLICY_STATES_RETENTION,Retention period stated in the policy,policy,minor,2,not_applicable,,GDPR art. 13(2)(a); CNIL délib. 2020-091 (13 months for consent and for measurement data),"Give a period, or the criteria that fix one, for each category of data. ""As long as necessary"" states nothing a reader can check.",no policy analysis was available for this audit
https://www.lemonde.fr/,2026-08-22T12:55:13.746Z,current,POLICY_STATES_RIGHTS,Rights and how to exercise them,policy,major,3,not_applicable,,"GDPR art. 13(2)(b), art. 13(2)(c), art. 13(2)(d); GDPR art. 7(3), art. 15–21, art. 77","List the rights, say how to exercise them, and give a working way to change or withdraw the cookie choice — a named link or control, not a description of one.",no policy analysis was available for this audit
